I,Q,I_dpd,Q_dpd
-0.210151804,-0.250653078,-0.19478421,-0.19653821
-0.196816108,-0.043544337,-0.18554264,-0.032941937
-0.188845166,0.13408019,-0.17672692,0.102910146
-0.207542527,0.237932665,-0.18128249,0.18331143
-0.260042875,0.246652998,-0.20864578,0.18822604
-0.334255556,0.168137633,-0.25299805,0.12645811
-0.403036513,0.036032182,-0.2972788,0.025348574
-0.435841119,-0.102101332,-0.320426,-0.07829243
-0.412357626,-0.200532665,-0.30672944,-0.14918485
-0.331576888,-0.229445909,-0.25201085,-0.16473937
-0.212008231,-0.182667302,-0.16875783,-0.12146343
-0.083181319,-0.076875317,-0.07855293,-0.03444682
0.027100653,0.056700225,-0.0016292306,0.069226705
0.103320113,0.184447995,0.05708269,0.16029926
0.145584471,0.281620344,0.09311052,0.2293255
0.164722499,0.338579723,0.11559415,0.2666122
0.172561942,0.360241199,0.13026759,0.2771387
0.173292413,0.359795908,0.1383591,0.27271122
0.16098881,0.350115496,0.13449496,0.26284954
0.124698821,0.336996106,0.109970555,0.25091517
0.058020964,0.317270907,0.06034115,0.23409688
-0.032676272,0.282315087,-0.008489341,0.2065575
-0.126720537,0.224761426,-0.080513984,0.16332361
-0.196004291,0.144656046,-0.13460864,0.10542272
-0.217220572,0.051631353,-0.15214393,0.041047234
-0.1831668,-0.038174189,-0.12723395,-0.020098194
-0.1069237,-0.108840566,-0.07094445,-0.069417596
-0.016261195,-0.151343346,-0.004353799,-0.09923391
0.059222566,-0.16638774,0.049146887,-0.11199491
0.101729864,-0.161650788,0.075658545,-0.11256601
0.112547174,-0.144870976,0.078946866,-0.10463457
0.109078224,-0.116828473,0.07264054,-0.08771557
0.113127237,-0.06874121,0.07228156,-0.054149516
0.13668948,0.013512101,0.08697958,0.008393902
0.173042653,0.139695943,0.1114607,0.10459961
0.198345477,0.30486034,0.13237526,0.23120405
0.183511218,0.48431296,0.12801892,0.37292698
0.110636842,0.637921772,0.083238125,0.4987096
-0.014397818,0.723347185,-0.0006938726,0.5702761
-0.159962304,0.713111997,-0.10318674,0.56129646
-0.279064793,0.607874573,-0.18794514,0.4752823
-0.327805002,0.439344772,-0.22042468,0.34436393
-0.283645772,0.260649268,-0.18564537,0.21214472
-0.155300738,0.127589923,-0.0929714,0.11803372
0.020038385,0.078421114,0.028280545,0.09010719
0.190628605,0.120462799,0.15107694,0.120046616
0.308956863,0.228763137,0.2326709,0.20506033
0.347470956,0.356699092,0.26108444,0.2976676
0.305432302,0.453461144,0.23207262,0.36151528
0.205487082,0.481085858,0.16031429,0.36902973
0.082984133,0.42488332,0.07346318,0.31360722
-0.02656594,0.29477581,-0.0007008016,0.20940353
-0.096979031,0.119112782,-0.0466023,0.077604935
-0.115498256,-0.0650555,-0.057608806,-0.056816496
-0.082138352,-0.221313329,-0.035749957,-0.16791494
-0.006648357,-0.32074426,0.014834428,-0.236438
0.094659409,-0.346312504,0.08042822,-0.25097102
0.201409293,-0.295609838,0.14843002,-0.20977624
0.291675632,-0.182136546,0.2058395,-0.1251374
0.345604365,-0.033976139,0.24041955,-0.017370872
0.350296887,0.111738177,0.24387385,0.08654406
0.30453089,0.218845135,0.21485108,0.16026974
0.220880084,0.264232252,0.16046275,0.18786156
0.123246734,0.247080831,0.09594163,0.17070693
0.039724893,0.19013069,0.040395502,0.12770304
-0.006895887,0.130653076,0.00864454,0.086206175
-0.007161944,0.103804612,0.006183706,0.07145391
0.031983571,0.125621381,0.02965175,0.09496306
0.090501458,0.184287613,0.06943609,0.14768355
0.143442595,0.245095925,0.10993202,0.19977741
0.170395789,0.267819006,0.13506934,0.2171454
0.162228549,0.228344694,0.1349158,0.1819104
0.122707218,0.133243945,0.109500125,0.10236938
0.065127955,0.018675972,0.06800384,0.009550193
0.006251225,-0.067180898,0.020768635,-0.057598487
-0.03944239,-0.089963201,-0.022576692,-0.07751328
-0.063036789,-0.049652908,-0.052755706,-0.048105642
-0.061615736,0.016131661,-0.058742505,0.007896215
-0.036946254,0.049653664,-0.036824062,0.048086077
0.006083691,0.003861796,0.005440712,0.018330477
0.060464808,-0.129005316,0.054772448,-0.08436651
0.117791008,-0.306732288,0.106162846,-0.22569585
0.169566892,-0.451848152,0.14483292,-0.34833628
0.209514136,-0.486378433,0.16469152,-0.38353676
0.236141403,-0.370327493,0.1653237,-0.2935276
0.253890535,-0.124555366,0.15935165,-0.101942845
0.271313932,0.174380245,0.16633412,0.13140798
0.296194659,0.42614424,0.19407749,0.33232588
0.32957803,0.550438828,0.24706489,0.43715954
0.362043767,0.521476482,0.29550964,0.41019464
0.375119571,0.376274458,0.31831872,0.28598267
0.348392909,0.193054779,0.301647,0.13551152
0.269690636,0.051171672,0.23854297,0.01983215
0.143442417,-0.006755082,0.135265,-0.029626884
-0.00749335,0.008648699,0.008892943,-0.016636375
-0.148430784,0.045958132,-0.105109036,0.012423044
-0.245550867,0.046501684,-0.1886147,0.02391236
-0.278962146,-0.019946799,-0.21004808,-0.014079057
-0.249810105,-0.137112198,-0.17968981,-0.09533459
-0.177884756,-0.251637299,-0.12258468,-0.17972681
-0.091005469,-0.30451052,-0.06311931,-0.21998434
-0.011803002,-0.266696846,-0.014902068,-0.19168013
0.051068915,-0.158583939,0.021176422,-0.109565824
0.102707921,-0.041555267,0.057037156,-0.021835819
0.153242967,0.014646081,0.098909825,0.024609026
0.206116812,-0.028569362,0.14956445,-0.008153096
0.250851025,-0.154027076,0.19724385,-0.108572304
0.265447338,-0.2934688,0.21697354,-0.22714224
0.228031482,-0.360468522,0.18483344,-0.29303446
0.131594091,-0.295253057,0.0959836,-0.25169265
-0.006927844,-0.098225556,-0.024506275,-0.10469598
-0.149678797,0.165667436,-0.1456403,0.101717524
-0.253159427,0.394740435,-0.22495751,0.29003346
-0.28884026,0.497015086,-0.23998348,0.39030156
-0.258374291,0.432249319,-0.19449008,0.34964705
-0.194495595,0.228943402,-0.12322278,0.19363771
-0.145647217,-0.031269426,-0.07123399,-0.0107139945
-0.15104803,-0.252850481,-0.07309268,-0.1913298
-0.218670826,-0.368786827,-0.14310038,-0.2915752
-0.318107368,-0.365371469,-0.24342318,-0.2919749
-0.393351256,-0.278830215,-0.32159746,-0.21805999
-0.390405727,-0.168508373,-0.32819664,-0.12023848
-0.286485691,-0.083087856,-0.24664432,-0.041654654
-0.105833618,-0.038472068,-0.10286108,0.0028106794
0.086926242,-0.017884621,0.052495252,0.017177053
0.214087726,0.008627578,0.15405622,0.027221896
0.220521701,0.058998455,0.16226283,0.0491779
0.100675301,0.124356381,0.071888715,0.080037385
-0.096486268,0.173593248,-0.0788741,0.10974046
-0.287631283,0.173990458,-0.22393249,0.109827355
-0.391289937,0.11457816,-0.30163482,0.075376436
-0.363367658,0.01702028,-0.2731505,0.016956002
-0.215514252,-0.073798587,-0.15552805,-0.038161747
-0.0082157,-0.114972712,0.0010335073,-0.06016773
0.17745055,-0.09203544,0.14162466,-0.043578222
0.275580251,-0.030493028,0.20997013,-0.0037166178
0.261997911,0.015798068,0.19808415,0.020732999
0.160109875,-0.005609682,0.12496425,-0.006657958
0.025047717,-0.11388682,0.02949439,-0.09695849
-0.084562372,-0.279257463,-0.05198437,-0.22713542
-0.132751135,-0.43370562,-0.09118062,-0.34955466
-0.11814847,-0.503902527,-0.08952753,-0.40215182
-0.067703507,-0.449536736,-0.06355846,-0.35192183
-0.017601099,-0.286412691,-0.03676939,-0.21719466
0.007337044,-0.081147446,-0.022826597,-0.05771248
0.004909434,0.080750389,-0.02381935,0.06842681
-0.007373706,0.137227249,-0.02215216,0.11172486
-0.00613176,0.080311247,-0.0071541006,0.06914773
0.022007191,-0.041217865,0.022316046,-0.03226292
0.071780574,-0.148617661,0.0660313,-0.11610868
0.12246181,-0.175262815,0.09842874,-0.1381556
0.150376759,-0.101706727,0.11083895,-0.082953565
0.143055666,0.034776098,0.098972775,0.020912249
0.106633727,0.160964262,0.06807417,0.1190808
0.062233515,0.20738962,0.040591322,0.15868074
0.033529575,0.14562773,0.030852582,0.114890404
0.032822011,0.00343253,0.039262116,0.005635051
0.053862432,-0.149904265,0.061391536,-0.11225963
0.075888732,-0.239609044,0.07370497,-0.18494867
0.076947322,-0.223374575,0.061935656,-0.17538404
0.049143902,-0.11124048,0.02703951,-0.091687016
0.0069835,0.042290189,-0.014226055,0.028691664
-0.016684636,0.168464059,-0.03345348,0.12964079
0.013870988,0.219727606,-0.0035349485,0.17725463
0.117590326,0.19135453,0.08514196,0.16143596
0.282613265,0.118648757,0.2207551,0.10947375
0.465531367,0.05298638,0.37148723,0.058283567
0.60534688,0.031383547,0.4895712,0.03169264
0.646607682,0.057014823,0.5231477,0.0383261
0.561784093,0.100958749,0.44766092,0.061262973
0.363201842,0.122803516,0.28618684,0.0667839
0.099518304,0.096973215,0.085027345,0.036250494
-0.161494386,0.02883849,-0.12102687,-0.015923997
-0.356409152,-0.048753537,-0.26864576,-0.068496875
-0.446296632,-0.095986748,-0.3422499,-0.09176317
-0.426178804,-0.090885525,-0.3301232,-0.07045138
-0.321484411,-0.043182568,-0.25173265,-0.018080063
-0.174705066,0.011391152,-0.14027818,0.035421744
-0.028905395,0.033224623,-0.028006144,0.057174493
0.085100613,0.004158844,0.0690418,0.032553054
0.153850399,-0.059430265,0.12405481,-0.023513854
0.178584861,-0.114306779,0.13914625,-0.07726564
0.168146159,-0.115087702,0.12491141,-0.08878693
0.131947557,-0.041900146,0.08978985,-0.04172883
0.076456966,0.085440085,0.04119175,0.051028382
0.006098586,0.215824242,-0.0141211115,0.15312788
-0.073106028,0.293946021,-0.06580568,0.21722613
-0.1502279,0.291043595,-0.11396167,0.2167776
-0.209187291,0.221466344,-0.14963707,0.16440086
-0.232564942,0.134810084,-0.16378444,0.10051863
-0.208216092,0.087237361,-0.14865088,0.06906369
-0.135772677,0.107941469,-0.10183572,0.09092701
-0.029787911,0.180283067,-0.028692603,0.15422936
0.082564213,0.249482513,0.05665871,0.21294186
0.169140944,0.253824836,0.13039435,0.21836425
0.203426255,0.162420728,0.16895711,0.1427391
0.174178667,-0.002266122,0.15542057,0.0054657087
0.090259758,-0.17144365,0.09344968,-0.13883346
-0.02160526,-0.264762487,-0.00040923618,-0.22249757
-0.125706512,-0.234990065,-0.09768311,-0.20409516
-0.189743978,-0.097888861,-0.16380885,-0.09385571
-0.196035812,0.070725191,-0.17599261,0.048413664
-0.147138227,0.171597077,-0.13333572,0.14245285
-0.063655422,0.134531571,-0.052744728,0.12519115
0.024756661,-0.040877257,0.03334933,-0.0131638795
0.091298379,-0.279178857,0.0973976,-0.20177335
0.121724179,-0.463093232,0.11704221,-0.35908067
0.117781228,-0.491831282,0.09641071,-0.39176372
0.093294161,-0.334207934,0.050613776,-0.26840258
0.065283631,-0.048511381,0.011603306,-0.050087877
0.044836522,0.242547984,-0.008248992,0.18206795
0.032439329,0.410458486,-0.0023142174,0.3196328
0.020085645,0.384033235,0.013166562,0.3000573
-0.001163377,0.185001788,0.021882892,0.14482357
-0.032503474,-0.082380706,0.013882583,-0.07256142
-0.06273021,-0.28284632,-0.014447974,-0.2315738
-0.070796581,-0.316877029,-0.041037947,-0.25834084
-0.035013603,-0.169037874,-0.040816236,-0.13337345
0.055366779,0.086326512,0.008919116,0.07640048
0.192101781,0.324391145,0.11476618,0.2719224
0.348000972,0.433597493,0.25668484,0.365273
0.485815117,0.371139922,0.39030707,0.31060284
0.572320188,0.182220595,0.4757647,0.14880641
0.591181903,-0.025919804,0.49506402,-0.029207975
0.548526063,-0.140944749,0.45131987,-0.13307634
0.468506173,-0.103598377,0.36722812,-0.108863994
0.380940594,0.062561108,0.2806079,0.023171999
0.30693973,0.264318007,0.21949396,0.18632278
0.249456048,0.38708632,0.18506381,0.28887865
0.19335902,0.352959522,0.15947255,0.26376182
0.115093665,0.15902543,0.11696274,0.11272646
-0.002589972,-0.122528794,0.045399025,-0.1123079
-0.157797793,-0.381001159,-0.08091278,-0.3189584
-0.324746046,-0.520537354,-0.23246302,-0.43691152
-0.45978899,-0.502920583,-0.37004822,-0.41812813
-0.516279567,-0.35927789,-0.43671763,-0.28475377
-0.462639328,-0.167130548,-0.39628497,-0.112273216
-0.296721272,-0.00704283,-0.2613719,0.026240326
-0.050958296,0.07740301,-0.069768116,0.098379076
0.213894676,0.095923047,0.15255988,0.11608315
0.42477526,0.097502159,0.3225784,0.10803235
0.517372528,0.135805128,0.39920455,0.116855875
0.456017159,0.234178439,0.34767985,0.1703866
0.246434659,0.369563209,0.1800431,0.252491
-0.062836515,0.483606294,-0.055789735,0.32907465
-0.391664527,0.514317366,-0.30221578,0.3633012
-0.649975506,0.430819293,-0.500339,0.32852885
-0.764229374,0.252564073,-0.5871661,0.2141727
-0.700810543,0.043016808,-0.5289902,0.06210035
-0.478298105,-0.118705005,-0.34685442,-0.05734314
-0.163303817,-0.173635226,-0.1101113,-0.0916218
0.150173504,-0.108465173,0.115182586,-0.034180254
0.371707071,0.040993426,0.27376392,0.07387701
0.444840524,0.208627397,0.32598984,0.18644731
0.365239678,0.328560646,0.26655853,0.25996733
0.179013432,0.36216368,0.1275825,0.26492083
-0.038522981,0.309565921,-0.029660748,0.21203002
-0.214924589,0.202552587,-0.156197,0.12747788
-0.309686841,0.085094563,-0.22498724,0.04524494
-0.327410562,-0.007195973,-0.237055,-0.013612248
-0.309244645,-0.058766291,-0.2235224,-0.043808654
-0.30701552,-0.073349017,-0.22441262,-0.05040723
-0.35299293,-0.064310829,-0.26529095,-0.043645285
-0.440728756,-0.043838574,-0.34235564,-0.029746205
-0.527222,-0.017772885,-0.42062047,-0.0078611
-0.555999283,0.011920635,-0.4497505,0.022388026
-0.489709367,0.040536689,-0.3962269,0.05350654
-0.335165884,0.056128462,-0.2705842,0.07297133
-0.146684212,0.041853208,-0.11867796,0.066797026
-0.004045555,-0.014836053,-0.00078696944,0.017478913
0.025510576,-0.111132705,0.03365798,-0.07024692
-0.077158606,-0.22307052,-0.042066477,-0.17470685
-0.268490599,-0.309978892,-0.19494978,-0.25732028
-0.457618572,-0.32891215,-0.36192453,-0.27746287
-0.546232955,-0.253179663,-0.4532981,-0.20734379
-0.474755585,-0.086327676,-0.4053897,-0.05699476
-0.252585441,0.135455502,-0.23750067,0.13062105
0.042980339,0.354295082,-0.006403059,0.31635445
0.299792413,0.510538467,0.21388587,0.43948793
0.420968555,0.563187161,0.33868378,0.4740436
0.368597825,0.502485649,0.31365877,0.39733243
0.180303176,0.350227304,0.1676727,0.24597982
-0.04913897,0.148991851,-0.006466817,0.07994448
-0.212129001,-0.053926654,-0.13314916,-0.072670385
-0.237146603,-0.220759104,-0.15975298,-0.18286368
-0.118984809,-0.330593784,-0.07566975,-0.2461233
0.083409218,-0.378794084,0.073797435,-0.26580113
0.279143856,-0.371279216,0.21961454,-0.2581803
0.390741485,-0.318108373,0.29890728,-0.2280318
0.389903909,-0.229849662,0.28794226,-0.17450655
0.306553388,-0.117583601,0.21433875,-0.10059575
0.208009955,0.005193641,0.1353096,-0.0133496225
0.160307192,0.121572065,0.09782017,0.077277884
0.192275827,0.213058791,0.12688479,0.15598127
0.280935233,0.264061524,0.20856059,0.20302781
0.365250433,0.266900762,0.2890809,0.2074166
0.380497487,0.224613205,0.31211782,0.16977045
0.294948561,0.149855939,0.24998331,0.10243114
0.129605101,0.060273808,0.12310591,0.0239446
-0.049426874,-0.027455444,-0.021998372,-0.048579983
-0.162304001,-0.102078177,-0.11291671,-0.09677092
-0.154940967,-0.158850869,-0.114606895,-0.12792772
-0.027014644,-0.197310571,-0.020322038,-0.13821143
0.165352259,-0.217600222,0.12695652,-0.1410977
0.333601751,-0.217922168,0.25733307,-0.14402032
0.3960129,-0.194918362,0.30474037,-0.14031146
0.313880682,-0.146964557,0.23724619,-0.12139116
0.108283551,-0.078506685,0.078369655,-0.08837008
-0.14930705,-0.002665647,-0.12674046,-0.038217008
-0.3671881,0.060100713,-0.2959055,0.013368215
-0.470135441,0.087694908,-0.37627897,0.05186464
-0.426750334,0.06466701,-0.33494562,0.056616273
-0.257113639,-0.010217157,-0.19397283,0.017325148
-0.019967647,-0.120579803,-0.0040746965,-0.055568874
0.212659293,-0.235276503,0.18134654,-0.14198947
0.381467103,-0.317173327,0.3095084,-0.22111067
0.456433931,-0.335129715,0.36041328,-0.25429755
0.439654569,-0.274995572,0.33393952,-0.22172579
0.356717187,-0.145537296,0.25505754,-0.12933023
0.242901225,0.023103544,0.16171683,-0.0047207847
0.13073254,0.188151711,0.07542352,0.11974181
0.042723002,0.307237696,0.013376268,0.21659961
-0.010425119,0.351245301,-0.014036991,0.25673613
-0.02821217,0.312574083,-0.013992257,0.23227116
-0.017676356,0.206186307,0.006119985,0.15534723
0.009189109,0.063543839,0.03344704,0.050460786
0.038131135,-0.07786272,0.056003556,-0.053659625
0.055979292,-0.18530265,0.06977418,-0.13603656
0.054365895,-0.238195136,0.05656521,-0.17924446
0.032424233,-0.230280751,0.02708484,-0.17525603
-0.003260103,-0.167227258,-0.011795171,-0.12965806
-0.042119712,-0.062155071,-0.04950971,-0.052451976
-0.075205071,0.068124046,-0.08113252,0.047793247
-0.099987202,0.204655658,-0.09811844,0.15469038
-0.12137403,0.326271095,-0.11291793,0.24830163
-0.147815092,0.410087186,-0.12618113,0.31592706
-0.184282038,0.434802406,-0.14259838,0.33711594
-0.226181219,0.387271869,-0.16269377,0.3000993
-0.25835709,0.270193626,-0.177769,0.21017942
-0.260902683,0.106749285,-0.17403568,0.088161215
-0.219632748,-0.061854581,-0.14090127,-0.036314063
-0.135910184,-0.187367619,-0.082401946,-0.12990792
-0.029995414,-0.231238584,-0.012893384,-0.16071616
0.065159288,-0.180661737,0.04594935,-0.12265423
0.11789562,-0.056385311,0.07528982,-0.033801794
0.113355347,0.092677261,0.06525023,0.07661122
0.062622536,0.207488894,0.026643865,0.15896057
5.14e-06,0.242990318,-0.01138751,0.18523508
-0.031547892,0.188035195,-0.02271646,0.14405341
-0.000905896,0.071789636,0.010909252,0.058778822
0.09435761,-0.047382598,0.08344044,-0.02898015
0.223129391,-0.106796316,0.1854914,-0.06888125
0.331281291,-0.067768372,0.25948828,-0.04111644
0.36382982,0.06513029,0.27400076,0.054445125
0.2894072,0.242976248,0.20829538,0.18080932
0.116239926,0.390888094,0.07468799,0.28464445
-0.10777389,0.438617581,-0.08774441,0.31621915
-0.311538375,0.350442378,-0.23091558,0.24953255
-0.427351445,0.14150076,-0.307056,0.09877421
-0.416896281,-0.126585729,-0.28776366,-0.09407528
-0.286216375,-0.369122271,-0.18759352,-0.26920867
-0.083860654,-0.511067915,-0.045712404,-0.3705508
0.11681824,-0.515614126,0.09336456,-0.3720038
0.24413078,-0.397174577,0.17555024,-0.283226
0.253188447,-0.214057121,0.16800499,-0.15206677
0.140637985,-0.044436175,0.08038225,-0.03930348
-0.055754557,0.044320275,-0.061776023,0.01876571
-0.271686967,0.020869633,-0.2166151,-0.010840338
-0.439166753,-0.099632714,-0.3418147,-0.10106746
-0.509261184,-0.262969526,-0.3925648,-0.21376768
-0.467011674,-0.397567423,-0.3619614,-0.30580428
-0.333971693,-0.441927813,-0.26314396,-0.32899016
-0.158331924,-0.367750147,-0.13387036,-0.2609359
0.003163779,-0.190752942,-0.020700116,-0.11948809
0.104713354,0.034290886,0.053159628,0.048843525
0.125424397,0.232438901,0.06239489,0.19076903
0.073142865,0.334962861,0.03375686,0.26225528
-0.022499513,0.30429585,-0.021396944,0.22877817
-0.124295141,0.148829533,-0.08083822,0.1036541
-0.202658471,-0.078138417,-0.12783672,-0.07370445
-0.245390306,-0.295869228,-0.15794322,-0.24024111
-0.258203094,-0.424773499,-0.17995965,-0.3373054
-0.256552879,-0.416231326,-0.19705126,-0.3258867
-0.253485428,-0.272313466,-0.2123348,-0.20726201
-0.250171147,-0.046919769,-0.22171059,-0.02803602
-0.234467513,0.173496615,-0.21647274,0.14345121
-0.18866315,0.303227152,-0.17541222,0.24976522
-0.102485975,0.291797865,-0.09252199,0.24606457
0.015887665,0.145269703,0.019981824,0.1371606
0.137750514,-0.075398379,0.12706913,-0.035924256
0.223437835,-0.279281435,0.2014273,-0.20611455
0.240104792,-0.383782588,0.20624234,-0.30130446
0.17924058,-0.349869615,0.14133157,-0.2836913
0.06445362,-0.198493309,0.033728495,-0.17139265
-0.055938319,-0.00042224,-0.06801553,-0.026718535
-0.129591048,0.156280281,-0.12523164,0.106231466
-0.124983264,0.206430898,-0.11397591,0.1582657
-0.04818315,0.136977053,-0.03827602,0.11744663
0.057761873,-0.008375952,0.055514127,0.00810495
0.132039027,-0.151302817,0.122446865,-0.108238235
0.125699224,-0.217097933,0.11403526,-0.17080674
0.027533485,-0.170546626,0.02664382,-0.14591749
-0.127149314,-0.032094651,-0.10784952,-0.049933538
-0.270488992,0.133346667,-0.22933064,0.082870066
-0.333329965,0.249108662,-0.28080752,0.18670872
-0.279268748,0.264490998,-0.22961721,0.21711461
-0.124739207,0.17860781,-0.094972834,0.16436966
0.065570198,0.038579341,0.06340139,0.06445105
0.206962443,-0.086605644,0.1778351,-0.044890024
0.233907475,-0.142788935,0.19683617,-0.10377656
0.13155406,-0.118726357,0.10880734,-0.10117241
-0.055865906,-0.050839055,-0.0409922,-0.063256994
-0.244327877,-0.00203769,-0.19572307,-0.024789255
-0.348236768,-0.025623303,-0.2769464,-0.03266968
-0.319555848,-0.133319928,-0.24682005,-0.097004354
-0.169294377,-0.284744271,-0.12198278,-0.1984876
0.038645183,-0.404811807,0.038713705,-0.28342754
0.217843753,-0.421141025,0.1696493,-0.3041907
0.298926125,-0.302822982,0.21660335,-0.22429574
0.259194111,-0.080537596,0.16979483,-0.066028215
0.12864576,0.163188871,0.06456775,0.10833754
-0.02923574,0.330067795,-0.054583777,0.23548208
-0.151001807,0.35165926,-0.12963149,0.2572096
-0.203477621,0.222519511,-0.1484462,0.16348359
-0.195596609,0.004518105,-0.12570637,0.0013679862
-0.166847981,-0.200307966,-0.093713276,-0.15629329
-0.159794046,-0.295870049,-0.097985215,-0.23278782
-0.192358845,-0.23550042,-0.14330287,-0.18787268
-0.245402283,-0.042470619,-0.20487842,-0.035939433
-0.272665387,0.201742267,-0.24210745,0.1587454
-0.227988045,0.395437512,-0.20984766,0.32331786
-0.095181447,0.462736491,-0.095264785,0.3889726
0.095908425,0.386202654,0.07219745,0.33349586
0.276780216,0.211465982,0.23180184,0.19242468
0.368734298,0.022841913,0.3132783,0.032020636
0.319054351,-0.097508583,0.27315864,-0.08132558
0.127238072,-0.107185849,0.11521752,-0.10948138
-0.151828781,-0.020616705,-0.114537284,-0.057996444
-0.42971504,0.101346717,-0.34495068,0.040748436
-0.621169511,0.183077477,-0.50566536,0.12815046
-0.678589413,0.171254994,-0.54615724,0.14895949
-0.60855508,0.059816387,-0.47215196,0.07727143
-0.463758086,-0.108258748,-0.3403977,-0.048661813
-0.315532928,-0.26206454,-0.21983697,-0.1718348
-0.221022622,-0.335962282,-0.15671563,-0.23936656
-0.200574731,-0.299066778,-0.15700462,-0.22083527
-0.234879317,-0.167836888,-0.1976395,-0.12394537
-0.28106483,0.002933225,-0.24378115,0.0057932585
-0.297831069,0.145335203,-0.26056558,0.1176866
-0.266205721,0.207441546,-0.22875519,0.17202216
-0.196028084,0.1731012,-0.15960467,0.150268
-0.116503476,0.064498882,-0.08264383,0.06812747
-0.057568766,-0.071992648,-0.027377041,-0.043313473
-0.033004811,-0.18858071,-0.0058930777,-0.14061809
-0.034329652,-0.256141792,-0.01281192,-0.19825807
-0.037930356,-0.272654046,-0.025063217,-0.21066363
-0.020454652,-0.257382348,-0.02026325,-0.1945712
0.026760057,-0.235385321,0.010959234,-0.17275453
0.092374213,-0.221368139,0.060121275,-0.15990192
0.15148605,-0.21162795,0.1062971,-0.15496796
0.179736557,-0.188156232,0.12818393,-0.14329985
0.166828812,-0.132323249,0.11672201,-0.10821794
0.121820248,-0.04033036,0.08072541,-0.044330724
0.067428612,0.068580896,0.037032925,0.038594857
0.02689463,0.156670423,0.006156116,0.11148394
0.011098319,0.18395567,0.0037298463,0.13956653
0.013338849,0.128773123,0.017815938,0.10154076
0.01468998,0.002271697,0.028250337,0.0045951568
-0.003280092,-0.151407679,0.022829734,-0.11439298
-0.045910434,-0.271049511,-0.012259625,-0.21359842
-0.100463423,-0.304306559,-0.067220435,-0.24469358
-0.141964809,-0.232146989,-0.116898835,-0.1873745
-0.146888858,-0.080079713,-0.13497385,-0.06350911
-0.107083469,0.090094468,-0.11179803,0.07477689
-0.03589483,0.205424976,-0.051376108,0.17405215
0.037467499,0.213164687,0.018743971,0.18151426
0.0828629,0.104237991,0.07137111,0.094721854
0.085728112,-0.082129923,0.08568776,-0.05807676
0.056259355,-0.275115902,0.06942862,-0.21693325
0.025988615,-0.402934618,0.038732555,-0.3219549
0.03302055,-0.423415096,0.029120099,-0.33540925
0.103180151,-0.340505011,0.066496365,-0.2599735
0.236534654,-0.199380382,0.15872826,-0.14007641
0.406004886,-0.063073876,0.29056185,-0.02946297
0.568546469,0.017669581,0.4305277,0.027265847
0.683003956,0.026595303,0.5415008,0.019988313
0.725617844,-0.014225123,0.58873814,-0.028403208
0.695899728,-0.059917825,0.5646698,-0.07594392
0.611128386,-0.068893113,0.48764035,-0.08704655
0.493933604,-0.02554064,0.3844127,-0.05207473
0.360861094,0.052305471,0.27496704,0.010331385
0.218575441,0.124703847,0.16552958,0.06695431
0.069228882,0.15323669,0.05437935,0.0909697
